car_make,car_model,model_year,car_vin,purchase_date,title,full_name,dealer,rrp,monthly_cost
Mitsubishi,Galant,2010,1G6AJ5SX1F0807518,"on 4/14/2018,",Honorable,Stesha Djurkovic,Wikido,£42193.95,£612.1728899484988 per month
Isuzu,Trooper,1998,2G61V5S86F9250074,"on 12/25/2018,",Honorable,Rochette Drewell,Lazz,£57183.18,£925.9358532569057 per month
Infiniti,G,2001,JTHBB1BA7B2322929,"on 1/1/2019,",Mrs,Magdaia Massenhove,Photolist,,
Buick,Special,1962,4F2CY0C72BK371439,"on 9/10/2018,",Dr,Pablo Montacute,Kayveo,£29305.29,£463.2190732829361 per month
Cadillac,Eldorado,1997,JTEBU5JR4F5512407,"on 1/4/2019,",Mrs,Urbano Kilmurray,Gevee,£60864.34,£1012.4483298277518 per month
Mercedes-Benz,S-Class,2008,1FTKR1AD2AP728642,"on 4/11/2018,",Mrs,Delcina Giacobbo,InnoZ,£26669.64,£421.62483356415146 per month
Buick,Park Avenue,1991,2C3CCAKG8DH998120,"on 4/9/2019,",Rev,Roshelle Calcutt,Fiveclub,£31689.75,£496.9403274281724 per month
Volvo,S80,2006,1G6D25EY9B0881391,"on 11/26/2019,",Mrs,Derk Elderfield,Muxo,£63522.19,£937.4697137227763 per month
Hyundai,Azera,2010,1FTSF3A57AE394164,"on 6/28/2020,",Rev,Padraig Geard,Tagopia,£46345.2,£747.8642905748128 per month
Acura,RSX,2004,2C3CDXCT7FH947352,"on 4/6/2017,",Dr,Wainwright O' Shea,Realmix,£26011.8,£398.6646822575885 per month
Mitsubishi,Endeavor,2010,KL4CJGSB9EB500164,"on 1/6/2019,",Ms,Olivette Nutbrown,Skilith,£13875.27,£228.3087933729616 per month
Pontiac,Grand Prix,2008,1N6AF0LY0EN828142,"on 6/14/2018,",Mrs,Gwenette Stanlike,Photobug,£51800.19,£767.7964358498624 per month
Honda,Odyssey,1998,4A31K5DF3CE419667,"on 3/24/2018,",Honorable,Haroun Pendre,Wordpedia,£19501.07,£320.7085259436373 per month
Suzuki,Sidekick,1997,JTEBU4BF3EK885968,"on 1/29/2018,",Mrs,Leopold Montel,Meedoo,£11503.97,£175.38336828536006 per month
Toyota,Avalon,2003,1N6AD0CW4EN782805,"on 2/2/2020,",Mr,Sara-ann Ells,Blogtag,£41941.64,£662.2810268018468 per month
Plymouth,Grand Voyager,1994,WA1YD54B74N624204,"on 6/25/2017,",Mrs,Kristan Linnitt,Yakijo,£56250.21,£844.9261771367114 per month
Ford,Ranger,2000,WA1VMBFE6BD389290,"on 7/18/2017,",Mrs,Del Huggin,Youspan,£28310.53,£455.0533429397562 per month
Honda,Accord,1993,SCFEDEAN8CG520090,"on 2/2/2019,",Ms,Britta Buckam,Jetpulse,£56893.61,£817.7295481281157 per month
Nissan,Maxima,1995,JTDJTUD32DD237546,"on 7/10/2019,",Mrs,Johny Awcock,Twimm,£15648.12,£259.45837787262 per month
Pontiac,Gemini,1987,1FTSX2A53AE248870,"on 9/15/2019,",Rev,Earl Benoey,Pixope,£3170.59,£49.47740722995746 per month
Chevrolet,Tahoe,2001,WDDEJ7EB9CA291480,"on 6/10/2017,",Ms,Hamlin Calliss,Jayo,£69506.61,£1033.1101658748798 per month
Audi,A7,2012,WBAVS13507F759037,"on 10/5/2018,",Dr,Leah Oliveto,Lazzy,£62089.87,£1011.7379412220668 per month
Ford,Expedition,2011,WAUKF98E18A037007,"on 5/6/2018,",Mrs,Bryant de Lloyd,Cogidoo,£33903.28,£527.5060094137497 per month
Ford,Festiva,1989,2G4WE587X61161345,"on 2/26/2018,",Rev,Cynthia Couves,Kanoodle,£78620.9,£1092.1147225211605 per month
Subaru,Forester,2004,WAUAC48H96K905845,"on 4/25/2018,",Rev,Erwin Malzard,Jaxworks,£42461.29,£710.2514563976956 per month
GMC,Rally Wagon 3500,1994,JN8AZ2KR9BT882471,"on 5/31/2020,",Ms,Merill Chalk,Shufflester,£41002.71,£668.7500583422596 per month
Mitsubishi,Truck,1995,WAUSF78E57A438059,"on 6/15/2020,",Ms,Anselm Rahlof,Tagtune,£34908.76,£514.7398204913226 per month
Mitsubishi,Starion,1989,1G6DL8EV3A0003023,"on 7/26/2019,",Mr,Shurlocke Mabbs,Kanoodle,£14994.47,£221.42085025943973 per month
Lexus,ES,2008,SCFAD05D49G186605,"on 3/21/2017,",Mrs,Delmore Kohlert,Jaxnation,£19430.51,£278.1905106704085 per month
Mitsubishi,Chariot,1991,SCBLF34F13C509449,"on 10/27/2018,",Dr,Borden Grayley,Zoozzy,£2305.43,£36.02568814775685 per month
Ford,Edge,2009,1D7RV1GP4AS767749,"on 10/16/2018,",Mr,Eulalie Nutting,LiveZ,£51862.28,£724.9108463827396 per month
Subaru,Outback,2004,JTEBU4BF4DK165240,"on 10/12/2017,",Ms,Abbye Holtom,Zoozzy,£42331.91,£646.4666927627462 per month
Ford,Focus,2001,KNAGG4A86A5802186,"on 8/15/2019,",Honorable,Creigh Powell,Mycat,£5812.81,£86.5263103073007 per month
Porsche,Cayman,2006,WAUDT94F35N791580,"on 6/21/2017,",Honorable,Hodge Brandoni,Linklinks,£12567.89,£185.0650609002875 per month
Dodge,Ram 3500,2000,WBAWV53557P244497,"on 12/20/2019,",Honorable,Jacenta De Bruyne,Vimbo,£25701.75,£360.6360908561936 per month
Dodge,Ram 3500,1994,1B3CB5HA7AD370925,"on 1/28/2020,",Dr,Gawain Sach,Zoombox,£21536.96,£323.5270149012584 per month
Chevrolet,Caprice,1992,WDDHH8JBXFB270172,"on 12/11/2017,",Mr,Kurt Boodell,Babbleset,£36764.63,£566.5880789143306 per month
Mazda,RX-7,1991,4A4JM2AS8AE399449,"on 10/16/2017,",Honorable,Brigitta Parlour,Quimba,£16910.37,£265.4922867226694 per month
Mazda,B-Series,1996,19XFA1F30AE643682,"on 1/17/2020,",Dr,Cherida Lamburn,Avamba,£24995.42,£351.1596906359987 per month
Pontiac,G8,2009,1FMCU4K37BK397447,"on 7/6/2019,",Ms,Christen Gadaud,Feedmix,£34788.67,£514.7832312623291 per month
Ford,Explorer,2006,19XFA1E88BE723780,"on 10/11/2018,",Mrs,Sidonnie Rohlfs,Skyvu,£28310.53,£414.83307974173584 per month
Ford,E-Series,1963,WBA6A0C51ED543627,"on 6/5/2017,",Rev,Cameron Paulon,Ntags,£11040.97,£172.16669075281945 per month
Porsche,Cayman,2006,YV1672MK5A2445282,"on 10/2/2019,",Honorable,Urbanus Lawlie,Babbleset,£31274.24,£468.8557675801474 per month
Mazda,929,1987,5GAKVBKD0FJ567349,"on 3/16/2020,",Honorable,Stanton Penhaligon,Wikido,£18853.34,£307.24515505745575 per month
Lexus,ES,2010,3C63DRNL3CG390754,"on 6/8/2018,",Dr,Lowrance Cotterel,Photojam,£40980.87,£564.8822672426762 per month
Audi,riolet,1996,3VW467ATXDM175731,"on 9/7/2020,",Ms,Diana Nassi,Yamia,£74170.79,£1040.1158121146716 per month
Nissan,Altima,2011,KNAFT4A23B5343686,"on 9/7/2020,",Ms,Rustin Hawkswood,Jaxbean,£31579.34,£505.1271882271255 per month
Lexus,LS,2004,WAUPEAFM4CA265760,"on 5/21/2020,",Rev,Noach Mockler,Brightdog,£3942.32,£57.02387884994185 per month
Hyundai,Elantra,2010,1N4AA5AP5DC802919,"on 5/7/2020,",Rev,Hersch Wilstead,Meejo,£19925.35,£291.72524492326494 per month
GMC,Savana 1500,2001,1B3CB7HB9AD080268,"on 8/29/2019,",Ms,Alix Masedon,Trudoo,£42658.35,£699.8157211015573 per month
Buick,Reatta,1988,1FTEX1C89AK835722,"on 11/19/2017,",Mr,Meris Nerger,Minyx,£60833.79,£925.2689430667427 per month
