car_make,car_model,model_year,car_vin,purchase_date,title,full_name,dealer,rrp,monthly_cost
Audi,90,1990,WAUDGAFL4EA025938,"on 3/9/2019,",Mr,Inge Hasney,Bubblebox,£22205.39,£352.4987862894033 per month
Honda,Fit,2007,JN8AE2KP0C9173789,"on 3/17/2017,",Rev,Rossie Ellsbury,Skidoo,£19669.13,£274.29312602019024 per month
Bentley,Continental,2005,SCFEDCAD1AG930254,"on 10/26/2017,",Ms,Clarice Gloster,Photobug,£2036.47,£28.05510975250371 per month
Porsche,Boxster,1997,WBAVC93577K358393,"on 11/14/2017,",Mrs,Cleavland McCormack,Yamia,£30515.26,£489.7598490035138 per month
Aston Martin,Vantage,2011,1FTEW1CF2FK638836,"on 6/12/2019,",Ms,Phaidra Hofner,Flashdog,£11763.03,£164.61784404795944 per month
Daewoo,Lanos,2002,1G4PT5SV9E4642871,"on 2/11/2019,",Mr,Lyndsay Janiszewski,Livepath,£9768.32,£151.158625277752 per month
Ford,E-Series,1987,WBAGN63584D683569,"on 10/30/2019,",Ms,Guinevere Durbin,Lazz,£22712.48,£376.05771840780517 per month
Chevrolet,Impala,2007,WAUCFAFC2FN164426,"on 11/4/2019,",Honorable,Norma O'Loughlin,Mydo,£43419.74,£599.5506097287201 per month
Volvo,V40,2000,WBAKG7C5XDJ927234,"on 2/7/2017,",Mr,Augy Cherryman,Meezzy,£20323.76,£302.4533910220723 per month
Land Rover,Range Rover Sport,2011,5UXKS4C52E0055993,"on 7/17/2018,",Honorable,Norby Flannigan,Ntags,£2503.45,£35.669130099346006 per month
Audi,S6,1995,WA1AM94L69D108205,"on 6/9/2018,",Ms,Moll Bendix,Quimm,£16995.49,£243.90485125620685 per month
Pontiac,GTO,2006,3VWJX7AJXAM029310,"on 3/12/2020,",Rev,Luke Silcocks,Meedoo,£35240.75,£578.5064464799269 per month
Chrysler,Town & Country,2009,WBAVB735X8V568557,"on 7/24/2018,",Rev,Naomi Tyre,Twimbo,£14552.98,£232.4050599907433 per month
Chrysler,Town & Country,1992,JM3ER2A50C0219229,"on 7/21/2018,",Honorable,Ariella Dumbreck,Twitterbridge,£25037.08,£417.4715554375966 per month
Dodge,Intrepid,2000,KNADM5A30D6314064,"on 7/29/2019,",Honorable,Margaux Keijser,Devbug,£6201.59,£99.50427709883944 per month
Nissan,Sentra,1996,WA1LMBFE4DD219536,"on 7/8/2017,",Mr,Karrie Grisdale,Tavu,£29829.96,£492.56218080036376 per month
Saturn,L-Series,2004,WBA3V7C56F5237471,"on 4/21/2019,",Dr,Deck Halegarth,Edgetag,£33310.64,£546.1309074953132 per month
Porsche,Cayman,2011,1C4NJCBAXED309789,"on 3/9/2019,",Mr,Burlie Tenny,Skyble,£41332.88,£582.1387459705883 per month
Land Rover,Range Rover Sport,2009,JN8AZ1FY2CW138013,"on 6/1/2017,",Ms,Avrit Miettinen,Voolith,£75284.92,£1051.77581027793 per month
Nissan,Altima,2003,1GYUKJEF9AR386861,"on 3/23/2018,",Ms,Corrinne Pock,Thoughtbeat,£33693.13,£560.7146654995986 per month
Chevrolet,Corvette,2010,1GTN2TEH7FZ762407,"on 11/15/2018,",Mrs,Goldina Offill,Devcast,£71491.33,£985.0576401829146 per month
Subaru,Loyale,1991,JTDZN3EU6E3774412,"on 2/19/2019,",Mr,Kaitlin Iiannoni,Devcast,£28878.83,£438.80620221252053 per month
MINI,Cooper,2007,WBA5A5C5XED617751,"on 9/27/2019,",Rev,Joannes Mellodey,Reallinks,£26077.08,£417.66068733844224 per month
Cadillac,Seville,1997,2B3CK2CV1AH087867,"on 12/15/2018,",Mr,Georgena Fenna,Trilith,£4981.11,£70.58615502377481 per month
Chevrolet,Venture,2004,SCFHDDAJ3AA601406,"on 11/12/2019,",Mr,Maxie O'Crigan,Skinder,£15961.6,£264.76321072942403 per month
Honda,Prelude,1996,JH4CU2E86CC611969,"on 2/9/2019,",Mr,Owen Mulvany,Fliptune,£55460.37,£875.1192176384375 per month
Lotus,Exige,2009,WAUHE98P59A756941,"on 12/27/2017,",Honorable,Oralla Bagworth,Photojam,£20195.26,£314.3253181515533 per month
Nissan,Sentra,1995,SCFAD02A68G239362,"on 10/9/2017,",Ms,Laney Kleinpeltz,Skinder,£34920.44,£544.6664204454113 per month
Mazda,MX-5,1995,1GKS1AEC4FR876092,"on 5/23/2019,",Ms,Daisie Chiplen,Gigazoom,£38957.18,£621.5250823177205 per month
Mercury,Sable,2004,4JGCB2FE1BA493783,"on 7/29/2019,",Ms,Maridel Feifer,Oyoba,£39638.05,£623.1928381977391 per month
Oldsmobile,Aurora,1997,KNDJT2A17B7946301,"on 12/5/2019,",Dr,Gayel Capeling,Devshare,£22100.99,£348.5750850681588 per month
Pontiac,Bonneville,1964,5N1AN0NU2EN607928,"on 7/8/2017,",Ms,Albrecht Velez,Feedspan,£35216.19,£577.695205214034 per month
Honda,Fit,2009,WBAEK73495B560986,"on 5/10/2020,",Mrs,Alix Lardge,Voomm,£19673.66,£312.2598744928842 per month
GMC,Vandura G2500,1995,WBANN73547C182413,"on 8/17/2018,",Mrs,Allix McVey,Quimba,£15696.9,£239.41195607044116 per month
Ford,Taurus X,2009,WAUAGAFD8DN268302,"on 1/25/2018,",Mrs,Eddi Clacson,Browsecat,£1622.12,£23.08922270884446 per month
Chrysler,Crossfire,2005,WA1LFBFP5DA380751,"on 5/25/2019,",Rev,Ros Mangin,Demimbu,£42901.1,£616.7299587433423 per month
Land Rover,Range Rover,1988,JTDKDTB36D1510939,"on 8/7/2017,",Rev,Portie Fifield,Skiptube,£47816.34,£794.3237613803534 per month
Chrysler,Sebring,2008,1GYEK63NX6R207021,"on 11/14/2018,",Rev,Reinald Abbay,Mymm,£16561.15,£248.49409013986732 per month
Porsche,Cayenne,2006,WDDNG9FB7DA828941,"on 11/1/2017,",Ms,Wini Hambly,Flashdog,£53430.43,£892.5472563270653 per month
Suzuki,Grand Vitara,2002,2C3CDYCJ1EH090268,"on 9/8/2020,",Rev,Stuart Dwyr,Skajo,£29214.31,£440.46288290808195 per month
Mitsubishi,Pajero,1987,3GYFNDE31CS953037,"on 5/2/2018,",Honorable,Del Trethowan,Buzzdog,£2945.46,£45.462124624980866 per month
Honda,Prelude,1999,JTHBP5C26C5490271,"on 5/17/2020,",Ms,Elbertine Cotgrave,Roodel,£559.81,£9.012401147444187 per month
Pontiac,G5,2009,WBAEV33432P981536,"on 12/18/2017,",Ms,Osmond Boothroyd,Photolist,£60595.88,£866.4331428137817 per month
Ford,F450,2008,1N6BF0KL4FN099025,"on 1/15/2020,",Rev,Leta Tesche,Blognation,£43647.25,£612.2019783478015 per month
Suzuki,XL-7,2002,JTHBL5EF4E5178366,"on 2/2/2019,",Honorable,Lotta Smithyman,Gigashots,£64939.35,£1013.3079498880252 per month
Infiniti,G,2002,5J8TB4H51GL568864,"on 4/14/2018,",Honorable,Patsy Commin,Skimia,£38989.69,£570.6077761136057 per month
Hyundai,Veracruz,2008,5J6TF1H57EL184483,"on 8/13/2019,",Dr,Livvie Wickling,Demizz,£42865.47,£657.5244956085869 per month
Ford,Escape,2003,WAUDF98EX5A232026,"on 8/5/2018,",Mrs,Mavis Curedell,Zazio,£47391.66,£769.2227805159453 per month
Ford,Taurus,2007,1C6RD6LP5CS863917,"on 1/24/2020,",Honorable,Madge Chern,Brainsphere,£21871.68,£346.9936335840058 per month
Suzuki,Sidekick,1991,5XYKT3A19CG747779,"on 7/3/2020,",Rev,Angil Wipfler,Flashpoint,£58224.82,£831.1997228192157 per month
Ford,Expedition EL,2012,JTHBK1EG3A2790428,"on 11/28/2019,",Rev,Tarah McIlory,Fivebridge,£22725.65,£375.2582931093857 per month
Kia,Soul,2010,JN8AZ2KR4CT995780,"on 12/6/2017,",Ms,Neala Vauter,Realblab,£35220.64,£577.0696836515035 per month
GMC,1500,1996,WBAWR335X7P068992,"on 7/18/2018,",Dr,Lelah Abbatucci,Yakijo,£70583.67,£1085.7315267784134 per month
Cadillac,Escalade EXT,2009,YV4952CT2D1313168,"on 1/24/2019,",Ms,Denney Karp,Oodoo,£20463.77,£328.5517976379898 per month
Infiniti,M,2010,1FTWX3B53AE595332,"on 6/14/2020,",Dr,Stephani Bartalot,Brainbox,£37075.91,£613.0438230324593 per month
Volkswagen,New Beetle,2000,5TFCW5F17BX415982,"on 11/20/2017,",Ms,Humphrey Tammadge,Twimbo,£43041.22,£704.8818660403184 per month
Honda,Civic,1992,3VWJP7AT2CM494636,"on 7/17/2017,",Ms,Pippo Szymanzyk,Youtags,£6798.07,£107.63202691275228 per month
Toyota,Avalon,2007,5J8TB4H58GL704665,"on 7/28/2017,",Dr,Shirline Munton,Demivee,£51738.7,£738.644395590211 per month
Chevrolet,Tahoe,2007,1GD12ZCGXBF990775,"on 1/30/2020,",Mr,Valma Peert,Youspan,£27461.36,£455.84354238428 per month
Pontiac,Grand Prix,1962,1FTMF1EW7AK388902,"on 3/27/2019,",Ms,Aguistin O'Hearn,Feedbug,£5539.3,£89.61559441537008 per month
Mercedes-Benz,C-Class,2004,1FTEW1CF9FF328708,"on 11/14/2017,",Ms,Jorrie Hulkes,Fiveclub,£24862.46,£375.2126111207658 per month
Toyota,MR2,2005,1D7RB1CP5AS946235,"on 12/8/2018,",Honorable,Merle Stears,Zooveo,£14065.67,£217.07371145603162 per month
Ford,Windstar,2002,1D7RV1GP6BS314900,"on 3/21/2017,",Honorable,Laurianne Kesten,Dynabox,,
Honda,CR-V,2007,1FTMF1EW1AK659498,"on 3/13/2017,",Honorable,Hubey Catcheside,Realblab,£26069.94,£361.3906349355735 per month
Mazda,RX-8,2011,WA1CV74L99D254026,"on 7/11/2017,",Honorable,Albert Muzzi,Skimia,£16015.74,£230.7529353986586 per month
Ford,Mustang,1987,3N1CN7AP7EL091980,"on 9/1/2019,",Honorable,Humfrey Prendergast,Twimm,£40699.84,£646.1111665174806 per month
Chevrolet,Suburban 1500,2004,WAUVC68E92A331427,"on 7/8/2017,",Dr,Letti Works,Zoonoodle,£28740.04,£454.0365445392591 per month
Mazda,CX-7,2012,1G6DZ67A380734171,"on 9/29/2019,",Honorable,Hetti Thrasher,Realcube,£3999.71,£59.06896297588874 per month
Infiniti,Q,2005,WAUVT68E33A760435,"on 11/15/2017,",Dr,Tedman MacLeod,Eayo,£71133.18,£1015.0901391855043 per month
Honda,S2000,2001,WAUFL44D92N058746,"on 2/21/2020,",Mrs,Wandis Gilderoy,Fliptune,£47100.42,£706.1161918426677 per month
Ford,Escape,2003,2FMHK6DC6AB315754,"on 5/16/2019,",Rev,Bonnee Clooney,Mymm,£47291.43,£679.8269325472745 per month
Mercedes-Benz,Sprinter,2011,WAUSFBFL2AA057748,"on 11/20/2017,",Dr,Blithe Marlow,Oyondu,£37080.19,£603.3861968659195 per month
Ford,EXP,1987,WAUML64B94N043426,"on 6/19/2018,",Mrs,Stesha Egiloff,Talane,£30361.55,£467.57291179417535 per month
Lexus,IS,2009,5N1AT2MK1EC130132,"on 5/25/2020,",Honorable,Kippar Battisson,Skyba,£32762.83,£501.59987960601984 per month
Honda,Passport,1996,WBSCL93401L505214,"on 10/15/2018,",Honorable,Mallory Weafer,Oba,£24407.95,£350.67108404628664 per month
Volvo,850,1994,1FTEW1CM8BF012712,"on 10/3/2018,",Rev,Marve Edy,Skippad,£37440.19,£612.9834291221589 per month
Lotus,Elise,2006,WAUEFBFL7DN006806,"on 10/10/2019,",Ms,Dacia Coryndon,Quatz,£34521.83,£481.43197088471453 per month
Infiniti,QX,2005,WBALW3C51DC566044,"on 1/29/2019,",Ms,Archer Siddele,Babbleblab,£36463.53,£602.8968526597006 per month
Saturn,Outlook,2008,WAUUL58E65A719984,"on 4/11/2017,",Rev,Christye Gamwell,Edgeify,£23229.3,£358.14062501490423 per month
Chevrolet,S10,2001,WAUMFAFL3BN969009,"on 10/13/2017,",Mr,Gabriellia Iwanowicz,Pixope,£38773.57,£557.6160851060338 per month
Dodge,Grand Caravan,2001,WAUAH78E18A953616,"on 11/24/2019,",Mr,Lotti Filkin,Trupe,£5848.54,£85.27493720827977 per month
Mazda,CX-9,2010,WAUDT94F45N120273,"on 8/27/2019,",Rev,Almira Legat,Leexo,£21174.23,£330.47227289250685 per month
Suzuki,Esteem,2000,JH4KB16678C069958,"on 10/26/2019,",Ms,Vernon Bulloch,Skyndu,£22735.12,£318.04418401215247 per month
Ford,F250,2004,2T1KE4EE7AC030240,"on 7/23/2017,",Honorable,Stern Hambleton,Gigazoom,£41868.43,£632.130870594313 per month
Acura,TL,2003,JN1AJ0HP4AM395395,"on 9/28/2019,",Mr,Walliw Jeffers,Flashspan,£69463.2,£971.8069043210886 per month
Pontiac,1000,1986,1FMJK1K53AE494896,"on 6/20/2019,",Rev,Carey McTavish,Blognation,£17752.1,£294.7557753442365 per month
Eagle,Talon,1993,1FTWF3D58AE497171,"on 3/20/2018,",Mr,Andy Lantaph,Mita,£24152.82,£384.5816071743317 per month
Mazda,CX-7,2008,WAUWMAFC8EN597542,"on 5/15/2019,",Mrs,Jemmy Raubheim,Quaxo,£668.97,£11.059978885064263 per month
Toyota,RAV4,2011,WDDGF4HB6EA827468,"on 3/29/2020,",Ms,Bel Gergher,Dazzlesphere,£25235.25,£381.41804071511314 per month
Ford,C-MAX Hybrid,2013,1GTN1UEH5FZ972531,"on 3/13/2017,",Mrs,Hamid Riccardelli,Oloo,£37906.48,£549.0672154868062 per month
Cadillac,CTS-V,2009,1FTEX1EW7AF449286,"on 3/3/2019,",Ms,Latrina Kasper,Gigashots,£14146.97,£201.56504690267846 per month
Mercedes-Benz,E-Class,2005,WAUBFAFL1FN791159,"on 11/18/2018,",Dr,Petra Aupol,Skibox,£32608.46,£480.2040002599692 per month
Toyota,Matrix,2006,WAUUL98E07A331515,"on 12/7/2018,",Mrs,Donny Scarffe,Vipe,£1242.8,£18.711278887695702 per month
Ford,F-Series Super Duty,2008,SAJWA4FB3EL601353,"on 12/4/2019,",Honorable,Annabell Paulon,Viva,£61840.4,£1036.0306902366963 per month
Mercury,Sable,1990,WAUEH94F28N639364,"on 5/19/2020,",Rev,Fredric Flukes,Wikido,£4684.6,£71.77162251504656 per month
Ford,Ranger,2005,JA4AP3AU5BZ733771,"on 4/2/2017,",Rev,Marika Vasse,Pixoboo,£29366.41,£462.787050488928 per month
Ford,Mustang,2000,WBAAN37411N755966,"on 12/6/2017,",Honorable,Holli Knevett,Podcat,£5134.24,£75.66431090502245 per month
Land Rover,Range Rover,1994,3GTXCYEJ4AG251168,"on 3/15/2019,",Dr,Ephrem Randal,Fliptune,£49717.69,£695.2103714283746 per month
BMW,7 Series,1993,5YMGZ0C59BL086087,"on 7/12/2018,",Rev,Nicoline Tinghill,Dynabox,£792.26,£13.115108865482664 per month
Mitsubishi,Montero,1994,WBA3B5G50FN977699,"on 4/18/2018,",Ms,Dwain Gercke,Buzzshare,£39268.67,£589.1353179864765 per month
Oldsmobile,Intrigue,1999,1FMEU7FE9AU302623,"on 9/27/2018,",Dr,Jeramie Evered,Aimbu,£16614.8,£273.72053909884477 per month
Mazda,626,2002,WAUDGAFL9AA335335,"on 4/13/2020,",Mr,Conni Fancy,Jayo,£17175.91,£282.40145652799487 per month
Acura,RSX,2002,JN1CV6EK8FM964295,"on 6/8/2018,",Honorable,Hobie McAndrew,Reallinks,£48436.09,£675.2776740590533 per month
GMC,Savana,2009,WA1WMBFEXAD108076,"on 8/8/2018,",Mr,Moyra Habbergham,Mymm,£29486.36,£488.79733550735716 per month
Buick,Century,1986,5NPDH4AE4FH348388,"on 7/27/2017,",Ms,Juline Miklem,Ntag,£46640.51,£772.1205693119714 per month
Ford,Escort,2001,WAUAF78E48A451611,"on 5/27/2017,",Honorable,Tessy Skelbeck,Meevee,£11187.82,£165.76794971878425 per month
BMW,8 Series,1996,3C6JD6BP4CG225647,"on 6/6/2020,",Honorable,Ulla Flann,Eadel,£24090.21,£352.3986900392685 per month
MINI,Countryman,2011,3N1CN7AP1EL057372,"on 9/4/2018,",Honorable,Nora Horrell,Roomm,£51355.79,£756.240464787371 per month
Suzuki,Grand Vitara,2000,WBAKG7C52DJ393078,"on 1/26/2018,",Mr,Gray Mostyn,Yozio,£59528.47,£983.367960485537 per month
Volkswagen,Golf,2002,2T1BU4EEXDC695883,"on 1/30/2019,",Mrs,Blanch Roskelly,Riffpath,£14264.37,£208.53145773748741 per month
Hyundai,Tucson,2005,5NPEB4AC2BH601075,"on 10/23/2017,",Dr,Andreana Nelane,Realbridge,£16374.36,£265.73427339083804 per month
Nissan,Xterra,2012,KMHTC6AD9EU586105,"on 8/31/2018,",Dr,Tasia Sindle,Gabspot,£48280.83,£798.780788271994 per month
GMC,3500,1999,19XFA1F28AE391476,"on 6/2/2019,",Rev,Germana Karolyi,Yacero,£38947.55,£560.6278711782148 per month
Land Rover,Range Rover,2010,5LMJJ2JT0FE763839,"on 2/3/2018,",Honorable,Terza Gummie,Yacero,£29306.81,£447.1963725270987 per month
Mercury,Cougar,1969,1B3CB8HB5AD588842,"on 10/8/2018,",Rev,Florenza Kuhle,Oyoba,£63322.84,£947.251163223847 per month
Honda,CR-V,1998,3C4PDCGB5FT226705,"on 10/1/2018,",Honorable,Shannon Tarpey,Topdrive,£17471.7,£254.27465512425255 per month
Volkswagen,Passat,1995,19UUA66254A894377,"on 12/18/2017,",Honorable,Johnna O'Hartigan,Voolith,£54188.25,£868.3754614492126 per month
Chevrolet,Sportvan G20,1995,1D7RW3BK5AS617718,"on 3/10/2020,",Ms,Mallory Hilliam,Plajo,£6682.13,£105.8335310876318 per month
Land Rover,Defender 110,1993,1GT020CG0EF507083,"on 7/21/2018,",Ms,Aigneis Stait,Voolia,£19990.01,£284.20397489921373 per month
Volkswagen,Cabriolet,1991,3GYFNGE31DS529960,"on 9/16/2017,",Rev,Milly Gecke,Ainyx,£20617.04,£301.5881397562071 per month
Saturn,S-Series,1995,2C4RDGBGXFR077746,"on 5/30/2017,",Dr,Stefan Sclanders,Topicshots,£50828.52,£722.6791974202847 per month
Hummer,H1,1999,TRUXD38J091757754,"on 2/7/2020,",Honorable,Allistir Bau,Yoveo,£790.81,£12.49497201820907 per month
Mercedes-Benz,300E,1992,KMHHT6KD6EU440071,"on 1/26/2020,",Mrs,Gunilla Dashkovich,Meeveo,£39127.12,£551.0880875082471 per month
Mitsubishi,Mirage,1986,5YMGZ0C58DL892019,"on 12/11/2017,",Honorable,Audrye Shakelady,Skimia,£47659.05,£794.7324510643034 per month
Ford,Bronco,1989,JN8AZ2KR9BT795461,"on 9/19/2017,",Mr,Kyle Elkington,Dabtype,£50193.58,£820.1909883727197 per month
Nissan,Frontier,2010,JTDZN3EU5D3106664,"on 2/16/2018,",Dr,Shea Hobben,Tagtune,£829.16,£12.418790074660015 per month
Ford,Probe,1996,1G6AL1R31F0297757,"on 3/28/2019,",Mrs,Luise Llorens,Skimia,£37549.96,£522.6943040355803 per month
Mercedes-Benz,CL-Class,1999,2C3CCAPT0CH465330,"on 5/25/2019,",Mr,Doreen Killelay,Livetube,£30334.36,£424.99708478739836 per month
Audi,TT,2000,3VW4A7AT6DM838792,"on 6/23/2019,",Mr,Constantine Spilisy,Yabox,£17246.65,£279.9494477373051 per month
Chevrolet,Camaro,1999,1D4PU4GK7AW241444,"on 4/10/2017,",Ms,Olenolin Martinek,Lazzy,£25684.26,£380.6823985332493 per month
Dodge,Dakota Club,1997,WBS3C9C5XFJ742952,"on 9/9/2018,",Dr,Pren Seago,Muxo,£34118.47,£549.8424338871863 per month
Buick,Riviera,1988,3C63D3JL2CG844933,"on 3/5/2020,",Rev,Tabbitha Swanborrow,Yombu,£8851.48,£136.38548336649762 per month
Buick,Somerset,1986,2G61S5S39F9969588,"on 3/5/2019,",Honorable,Kristi Grote,Quaxo,£24896.99,£413.8493570525109 per month
Jeep,Patriot,2009,JN1AY1AP0CM670789,"on 5/25/2019,",Ms,Jase Broadwood,Dynazzy,£35616.46,£524.6103540180407 per month
Suzuki,Equator,2012,1HGCR2E39FA565238,"on 4/29/2017,",Mrs,Anastassia Cadany,Muxo,£19091.76,£315.72188288276874 per month
Chrysler,Concorde,1998,WAUEFAFL7EA112336,"on 12/6/2018,",Honorable,Bobette Menel,Einti,£34092.6,£493.95820599264533 per month
Pontiac,G6,2010,WBAEW53474P839041,"on 7/26/2020,",Rev,Salvidor Rackam,Skipstorm,£33846.29,£538.5538574505339 per month
Chevrolet,1500,1992,5FRYD4H88EB179131,"on 7/1/2019,",Ms,Shannon Gillitt,Kaymbo,£20266.12,£331.28182568803663 per month
Lincoln,LS,2004,WBANV1C52AC351932,"on 7/28/2019,",Honorable,Nicky Pochon,Skidoo,£2309.56,£33.33747090656027 per month
Kia,Carens,2008,1N6AA0CH3FN322045,"on 6/5/2020,",Mr,Nanette Starkey,Dabjam,£55555.6,£887.2689885918455 per month
Mazda,MX-6,1996,1C3CDFEB8ED040488,"on 8/7/2020,",Dr,Nicolai Chartre,Devify,£37376.01,£605.2611774306197 per month
Toyota,Sienna,2004,WVWAA7AH5AV771282,"on 11/19/2017,",Ms,Hurleigh Veryan,Tagcat,£53742.17,£761.0499539084713 per month
Ford,Mustang,1968,SALGR2VF1EA175851,"on 9/3/2020,",Ms,Bryan Crummey,Bubblemix,£30262.88,£467.77365658164 per month
Mitsubishi,Montero,1998,1G6DJ1EDXB0578547,"on 1/19/2020,",Dr,Fredia Carss,Kaymbo,£63460.47,£871.4653248251615 per month
Maybach,57,2010,4USBU53538L116539,"on 10/18/2019,",Rev,Ruttger Quick,Flashdog,£3934.05,£56.843016959101924 per month
Mercury,Mystique,1997,3D4PG3FG1BT176418,"on 3/4/2020,",Honorable,Nelie Sherrum,Kazu,£58753.94,£946.5689187618308 per month
Lexus,LS,2006,WUADUAFGXF7795965,"on 10/12/2017,",Rev,Babs Towle,Edgeblab,£48530.35,£688.8846217924173 per month
Volkswagen,GTI,2012,WBA3B3C56FF824796,"on 3/15/2020,",Mr,Cyrille Hartzogs,Roodel,£64795.9,£1038.2168087740113 per month
Mazda,RX-7,1991,5TFBY5F12AX292791,"on 5/19/2018,",Honorable,Neala Aberhart,Yakijo,£23456.83,£368.60296907462777 per month
Mercedes-Benz,G-Class,2002,2T1KU4EE6DC500913,"on 2/7/2020,",Honorable,Jacky Albone,Gigazoom,£59532.95,£833.8769246249099 per month
Honda,Accord,1987,1C3BC7EG4BN957241,"on 7/20/2020,",Mrs,Lotte Flatt,Roomm,£20514.99,£330.98193135382456 per month
